latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price,room_Entire home/apt,room_Hotel room,room_Private room,room_Shared room
0.3407116016909403,0.3731279328126953,0.0,0.1670378619153674,0.0457639939485627,0.0329113924050632,0.3753424657534246,0.01271653149093822,True,False,False,False
0.5370479098168096,0.5222121207111069,0.0258007117437722,0.2843355605048255,0.0809379727685325,0.0025316455696202,0.5671232876712329,0.005807549814759187,True,False,False,False
0.3426491310474349,0.3758511962527361,0.0,0.1128433556050482,0.0347957639939485,0.0329113924050632,0.3671232876712328,0.005306898968659257,True,False,False,False
0.3413574448097718,0.3737363214535531,0.0,0.0920564216778025,0.0264750378214826,0.0329113924050632,0.273972602739726,0.008310804045258836,True,False,False,False
0.5232503522780602,0.3220812287557539,0.0053380782918149,0.0,0.0313918305597579,0.0025316455696202,0.0,0.008010413537598878,True,False,False,False
0.5708078910286397,0.3462429490642042,0.0,0.0044543429844097,0.002269288956127,0.0329113924050632,0.7150684931506849,0.013817963352358065,True,False,False,False
0.4048849224988409,0.4795380031879107,0.0008896797153024,0.3303637713437268,0.0975794251134644,0.0,0.6986301369863014,0.0045058576148993695,False,False,True,False
0.4014795678722595,0.4676309683596442,0.0,0.0831477357089829,0.0332829046898638,0.0253164556962025,0.6876712328767123,0.0045058576148993695,True,False,False,False
0.4014795678722595,0.4676309683596442,0.0,0.0682999257609502,0.0204236006051437,0.0253164556962025,0.0,0.008010413537598878,True,False,False,False
0.407468294974167,0.5121881935807419,0.0017793594306049,0.1447661469933185,0.0431164901664145,0.0,0.010958904109589,0.006808851506959047,True,False,False,False
0.4014795678722595,0.4676309683596442,0.0,0.1804008908685968,0.0533282904689863,0.0253164556962025,0.4684931506849315,0.012516271152498247,True,False,False,False
0.5303546265852487,0.5220672662728021,0.0008896797153024,0.214550853749072,0.063161875945537,0.0,0.0136986301369863,0.006908981676179033,True,False,False,False
0.5709840300610635,0.3464747161654858,0.0,0.0014847809948032,0.0003782148260211,0.0329113924050632,0.7698630136986301,0.009612496245118654,True,False,False,False
0.5708078910286397,0.3462429490642042,0.0,0.0007423904974016,0.0,0.0329113924050632,0.7452054794520548,0.0107139281065385,True,False,False,False
0.5709840300610635,0.3464747161654858,0.0,0.0051967334818114,0.0011346444780635,0.0329113924050632,0.7561643835616438,0.0076098928607189345,True,False,False,False
0.5709840300610635,0.3464747161654858,0.0,0.0,0.0313918305597579,0.0329113924050632,0.673972602739726,0.007109242014619005,True,False,False,False
0.5709840300610635,0.3464747161654858,0.0,0.0,0.0313918305597579,0.0329113924050632,0.7178082191780822,0.008010413537598878,True,False,False,False
0.5709840300610635,0.3464747161654858,0.0,0.0007423904974016,0.0018910741301059,0.0329113924050632,0.7424657534246575,0.013417442675478121,True,False,False,False
0.5709840300610635,0.3464747161654858,0.0,0.0022271714922048,0.0003782148260211,0.0329113924050632,0.6794520547945205,0.013417442675478121,True,False,False,False
0.5799671207139665,0.342158053904143,0.0,0.0022271714922048,0.0037821482602118,0.0329113924050632,0.6438356164383562,0.008010413537598878,True,False,False,False
0.5730955138318569,0.3390216038058477,0.0,0.0044543429844097,0.0011346444780635,0.0329113924050632,0.6054794520547945,0.008010413537598878,True,False,False,False
0.5855611741015282,0.3431491365567781,0.0,0.0029695619896065,0.0018910741301059,0.0329113924050632,0.6465753424657534,0.008010413537598878,True,False,False,False
0.5646430248943084,0.3425057045560602,0.0,0.0007423904974016,0.0,0.0329113924050632,0.6575342465753424,0.006608591168519075,True,False,False,False
0.5657941900931083,0.3438351366172614,0.0,0.0007423904974016,0.0,0.0329113924050632,0.3534246575342465,0.006608591168519075,True,False,False,False
0.5453264443400593,0.4543623018113573,0.0,0.07275426874536,0.0230711043872919,0.0025316455696202,0.0,0.008010413537598878,True,False,False,False
0.3943165805542492,0.4658058024370708,0.0,0.1046770601336302,0.0310136157337367,0.0810126582278481,0.6547945205479452,0.0045058576148993695,False,False,True,False
0.4030648191639483,0.4656899188864249,0.0258007117437722,0.0705270972531551,0.0208018154311649,0.0810126582278481,0.9835616438356164,0.0054070291378792434,True,False,False,False
0.3412987317989917,0.3735335252399304,0.0,0.139569413511507,0.0416036308623298,0.0329113924050632,0.3287671232876712,0.007509762691498949,True,False,False,False
0.395784405824336,0.4647049087059807,0.0258007117437722,0.028210838901262,0.0079425113464447,0.0810126582278481,0.9972602739726028,0.0023029938920596776,False,False,True,False
0.512126050011109,0.5194587494033784,0.0,0.5077951002227171,0.1520423600605144,0.0379746835443038,0.0547945205479452,0.00971262641433864,True,False,False,False
0.5071629873180103,0.5220382953851431,0.0,0.6451373422420194,0.1962934947049924,0.0379746835443038,0.0356164383561643,0.005607289476319215,True,False,False,False
0.4644199154532772,0.4938206508043008,0.0017793594306049,0.1217520415738678,0.0423600605143721,0.0050632911392405,0.9232876712328768,0.012916791829378192,True,False,False,False
0.3826326914044181,0.5561080592733229,0.0258007117437722,0.2011878247958426,0.0605143721633888,0.0025316455696202,0.4027397260273972,0.005707419645539201,True,False,False,False
0.3865323172398369,0.419239883633421,0.0008896797153024,0.1365998515219005,0.0412254160363086,0.0,0.0904109589041095,0.006908981676179033,True,False,False,False
0.4001291686237746,0.4712233584294833,0.0258007117437722,0.028210838901262,0.0079425113464447,0.0810126582278481,0.9972602739726028,0.005707419645539201,True,False,False,False
0.2970878346641717,0.6211477020700445,0.0053380782918149,0.0007423904974016,0.0,0.0025316455696202,0.0,0.004605987784119355,True,False,False,False
